﻿序號,區別,學校名稱,普通班班級總數,體育班數_不列入普通班,藝才班數_不列入普通班
1,東區,樂業國小,11,0,0
2,東區,臺中國小,27,0,0
3,東區,力行國小,43,2,0
4,東區,大智國小,35,2,0
5,東區,進德國小,18,0,0
6,東區,成功國小,39,0,0
7,南區,樹義國小,58,0,0
8,南區,信義國小,53,0,0
9,南區,和平國小,43,0,0
10,南區,國光國小,26,0,0
11,南區,樹德國小,17,0,0
12,西區,大同國小,35,0,4
13,西區,忠孝國小,56,0,0
14,西區,大勇國小,70,0,0
15,西區,忠信國小,24,0,0
16,西區,忠明國小,30,2,0
17,西區,中正國小,39,0,0
18,北區,賴厝國小,72,0,0
19,北區,中華國小,33,0,0
20,北區,太平國小,15,0,0
21,北區,省三國小,28,0,0
22,北區,健行國小,17,0,0
23,北區,篤行國小,27,0,4
24,北區,立人國小,31,0,0
25,中區,光復國小,23,0,8
26,北屯區,東光國小,41,0,0
27,北屯區,四維國小,33,0,0
28,北屯區,僑孝國小,33,0,0
29,北屯區,逢甲國小,7,0,0
30,北屯區,文昌國小,32,2,0
31,北屯區,陳平國小,35,0,0
32,北屯區,松竹國小,55,0,0
33,北屯區,建功國小,46,0,0
34,北屯區,仁愛國小,22,0,0
35,北屯區,新興國小,21,0,0
36,北屯區,仁美國小,67,0,0
37,北屯區,四張犁國小,29,0,0
38,北屯區,軍功國小,55,0,0
39,北屯區,北屯國小,42,2,0
40,北屯區,文心國小,59,0,0
41,北屯區,大坑國小,12,0,0
42,北屯區,廍子國小,65,0,0
43,北屯區,松強國小,12,0,0
44,西屯區,重慶國小,17,0,0
45,西屯區,國安國小,58,2,0
46,西屯區,上石國小,38,0,0
47,西屯區,西屯國小,45,0,0
48,西屯區,永安國小,62,0,0
49,西屯區,上安國小,34,0,4
50,西屯區,長安國小,36,0,0
51,西屯區,惠來國小,35,0,0
52,西屯區,何厝國小,16,0,0
53,西屯區,泰安國小,10,0,0
54,西屯區,大鵬國小,24,2,0
55,西屯區,大仁國小,16,2,0
56,西屯區,協和國小,32,2,0
57,西屯區,協和國小分校,7,0,0
58,西屯區,東海國小,24,0,0
59,南屯區,東興國小,53,2,0
60,南屯區,永春國小,63,0,0
61,南屯區,大新國小,82,2,0
62,南屯區,惠文國小,96,0,0
63,南屯區,大墩國小,36,0,0
64,南屯區,文山國小,58,0,0
65,南屯區,南屯國小,42,2,0
66,南屯區,鎮平國小,26,0,0
67,南屯區,春安國小,16,0,0
68,南屯區,黎明國小,30,0,0
69,豐原區,豐原國小,18,0,4
70,豐原區,瑞穗國小,64,0,0
71,豐原區,南陽國小,100,0,0
72,豐原區,富春國小,17,0,0
73,豐原區,豐村國小,25,0,0
74,豐原區,翁子國小,19,0,0
75,豐原區,豐田國小,39,0,0
76,豐原區,合作國小,20,0,0
77,豐原區,葫蘆墩國小,48,0,0
78,豐原區,福陽國小,12,0,0
79,后里區,后里國小,26,2,0
80,后里區,內埔國小,51,0,0
81,后里區,月眉國小,12,0,0
82,后里區,七星國小,12,0,0
83,后里區,育英國小,7,0,0
84,后里區,泰安國小,6,0,0
85,神岡區,神岡國小,28,0,0
86,神岡區,豐洲國小,18,0,0
87,神岡區,社口國小,44,0,4
88,神岡區,岸裡國小,17,0,0
89,神岡區,圳堵國小,18,0,0
90,大雅區,大雅國小,59,4,4
91,大雅區,三和國小,29,0,0
92,大雅區,大明國小,49,0,0
93,大雅區,上楓國小,28,0,0
94,大雅區,汝鎏國小,6,0,0
95,大雅區,陽明國小,10,0,0
96,大雅區,文雅國小,24,0,0
97,大雅區,六寶國小,17,0,0
98,潭子區,潭子國小,38,2,0
99,潭子區,僑忠國小,24,0,0
100,潭子區,東寶國小,26,2,0
101,潭子區,新興國小,12,0,0
102,潭子區,潭陽國小,49,0,4
103,潭子區,頭家國小,62,0,0
104,外埔區,外埔國小,28,0,0
